 Generation,Min,Max,Mean
10,   0.000,  12.000,   9.280
20,   0.000,  17.000,  13.180
30,   0.000,  22.000,  16.290
40,   0.000,  26.000,  23.200
50,   0.000,  26.000,  24.530
60,   0.000,  28.000,  26.770
70,   0.000,  31.000,  27.240
80,   0.000,  29.000,  27.430
90,   0.000,  30.000,  26.570
100,   0.000,  36.000,  28.940
110,   0.000,  40.000,  32.560
120,   0.000,  37.000,  35.120
130,   0.000,  43.000,  34.640
140,   0.000,  37.000,  35.490
150,   0.000,  36.000,  35.460
160,   0.000,  38.000,  35.200
170,   0.000,  36.000,  34.900
180,   0.000,  36.000,  35.390
190,   0.000,  37.000,  35.260
200,   0.000,  38.000,  34.780
210,   0.000,  36.000,  35.400
220,   0.000,  37.000,  35.140
230,   0.000,  36.000,  35.230
240,   0.000,  36.000,  35.200
250,   0.000,  42.000,  34.150
260,   0.000,  40.000,  36.450
270,   0.000,  44.000,  40.260
280,   0.000,  50.000,  45.220
290,   0.000,  46.000,  45.100
300,   0.000,  47.000,  45.360
310,   0.000,  48.000,  46.430
320,   0.000,  47.000,  46.470
330,   0.000,  48.000,  46.080
340,   0.000,  48.000,  46.060
350,   0.000,  47.000,  46.020
360,   0.000,  47.000,  46.390
370,   0.000,  48.000,  46.150
380,   0.000,  48.000,  46.460
390,   0.000,  47.000,  46.490
400,   0.000,  50.000,  46.020
410,   0.000,  47.000,  46.320
420,   0.000,  48.000,  46.370
430,   0.000,  47.000,  46.380
440,   0.000,  49.000,  46.010
450,   0.000,  48.000,  46.870
460,   0.000,  48.000,  47.300
470,   0.000,  48.000,  46.980
480,   0.000,  48.000,  46.660
490,   0.000,  48.000,  46.840
500,   0.000,  48.000,  47.190
